abject	비열한, 비굴한
operation	사업, 작동
opportunity	기회, 호기
oppression	압박, 억압
orbit	궤도
ordeal	시련, 괴로운 체험
ornament	꾸밈, 장식
outbreak	돌발, 발생
outcome	결과, 성과
outlaw	무법자, 불량배
outline	윤곽, 약도
oversight	간고, 빠뜨리고 못봄
pace	한걸음, 한발짝
pack	꾸러미, 보따리
pact	협정, 조약
pain	고통, 아픔
panic	공포, 당황
paramount	최고의, 최고 권위자
partisan	도당, 일당
partition	분할, 분배
passage	통로
passion	열정
pastime	소일거리, 오락
patience	인내
patron	후원자, 지지다
pause	중지, 중간 휴식
peak	절정, 꼭대기
pedestrian	보행자
peer	동료, 대등하다
peril	위험, 위기
period	기간
periphery	주위, 주변, 표면
permission	허가, 허용
petition	청원, 탄원
piece	조각, 단편
pilgrim	나그네, 방랑자
pillar	기둥
pity	동정, 연민
platform	교단, 강단
plight	곤경, 궁지
plot	응모, 계락
poison	독
port	항구
portion	일부, 한 조각
position	위치, 장소
post	기둥
posture	자세, 포즈
practice	습관, 관습
praise	칭찬, 숭배
pray	기도
precaution	조심, 신중
prejudice	편견, 선입관
premium	상금, 상품
prestige	명성, 평판
pretense	핑계, 구실
pride	자랑, 자만심
privilege	특권, 특전
probe	조사, 탐사
procedure	절차, 순서
profession	직업, 전문직
profusion	풍부함
progress	전진, 진보
proof	증거
property	재산, 자산
prophesy	성질, 특질
proponent	지지자
proportion	크기, 면적
proposition	제안, 제의
prospect	전망, 예산
proverb	속담, 격언
provision	준비, 식량, 양식
purpose	목적, 용도
quality	질, 특성
quarrel	말다툼
rage	분노, 격노
rank	계급, 등급
rapture	황홀, 환희
rascal	악한, 불량배
ration	일정한 배급량, 정량
realm	왕국, 범위
rebel	반역자
rebellion	반란, 폭동
referee	심판원
reference	언급
reflection	반사, 반영
refuge	피난, 도피
region	지방, 지역
register	등록부, 명부
regret	유감, 후회
regulation	규칙, 규정
relation	관계
relish	맛, 풍미
remainder	나머지
remedy	치료, 요법
remembrance	기억, 추억, 회상
renown	명성, 고명
reputation	평판, 명성
research	연구, 조사
resemblance	유사점
residence	주거, 주택
result	결과, 성과
reverence	존경, 경의
revolution	혁명, 대변혁
rim	가장자리, 변두리
riot	폭동, 소동
risk	위험, 모험
rival	경쟁자, 적수
ruin	폐허, 파멸
sanction	재가, 인가
satire	풍자, 비꼼
savor	맛, 풍미
scandal	불명예, 추문
scent	냄새, 향기
scheme	계획, 설계
scope	범위
score	득점, 점수
screen	칸막이, 보호물
sensation	감각, 느낌
sense	직감, 통찰력
sensibility	감각력, 민감성
sentiment	감정, 심정
sequence	연속
serene	고요, 조용
share	할당, 몫
shelter	피난장소, 대피소
shock	충격, 충돌
siege	포위 공격
sign	신호, 기호, 부호
sin	죄, 죄악, 잘못
situation	위치, 장소
size	크기, 치수
skirmish	작은 접전, 작은 충돌
slander	중상, 욕설
slaughter	도살, 학살
slavery	노예의 신세, 예속
snare	함정, 덫
solace	위안, 위로
solitude	고독, 독거
sorrow	슬픔, 비탄
sovereign	주권자, 군주
span	짧은 길이
sparkle	섬광, 불꽃
specimen	견본
speculation	심사숙고
spite	악의, 심술
splendor	광채, 탁월
spring	도약, 튀기
spur	충동, 자극
stake	말뚝, 막대기
standard	표준
state	상태
statement	성명(서), 진술문
station	위치, 장소
status	지위, 신분
stem	줄기, 대
stimulus	자극, 격려
stock	저장, 축적
stranger	외국인, 낯선 사람
strategy	용병학, 전략
stream	흐름, 조류
strength	힘, 능력
stress	압력, 긴장
strife	투쟁, 싸움
stroll	어슬렁거리며 거닐기, 산책
stuff	재료, 물질
substance	물질, 물체
succession	연속, 계속
summary	요약, 개요
summit	정상, 꼭대기
surplus	나머지, 잔여
suspicion	혐의, 의심
sweat	땀, 땀흘림
taboo	금기
tactics	전술, 병법
tale	이야기, 설화
talent	재능, 수완
temperament	기질, 성미
tendency	경향, 풍조, 추세
terror	심한 공포, 두려움
tolerance	관용, 관대, 참음
tool	도구, 기구
top	꼭대기, 정점
torment	고통, 고뇌
tide	조수, 조류
trace	자취, 발자국, 흔적
traffic	교통, 왕래
trail	끌고 간 자국
traitor	반역자, 매국노
trap	덫, 올가미, 속임수
treachery	배반, 배신
treasure	보물, 보배
trend	방향, 경향, 동향
trial	시련, 고난
trick	계교, 장난
triumph	승리, 대성공
troop	무리, 떼, 군대
trouble	근심, 걱정
trust	신임, 신뢰
tumult	소란, 법썩
tyrant	폭군
umpire	판정자, 심판인
unanimity	(만장) 일치, 합의
uproar	소란, 소동
vagabond	방랑자, 깡패
variety	다른 상태, 다양성
velocity	속도, 빠르기
vengeance	복수, 앙갚음
venture	모험, 위험
verge	모서리, 가장자리, 경계
version	번역, 각색
vice	악, 악덕행위
villain	악당, 놈
violation	위반자, 방해자
virgin	미혼여자
virtue	미덕, 장점
vision	시력, 상상력
vista	원경, 멀리 내다보이는 경치
vocation	천직, 직업, 사명감
vogue	유행, 성행
volume	용적, 용량
vow	맹세, 서약
voyage	항해, 항행
wage	임금, 품삯
ware	상품, 제품, 도자기
weakness	약함, 우유부단, 약점
woe	불행, 재난
workmanship	기량, 솜씨
worship	예배, 숭배
wound	상처, 부상
wrath	격노, 분노
wreck	난파, 조난
yearning	동경, 열망, 그리움
zeal	열심, 열성
zenith	천장
zest	열정, 강한 흥미
zone	지대, 지역
abandon	버리다, 포기하다
abate	줄다, 감소시키다
abbreviate	생략하다, 줄이다.
abhor	혐오하다
abide	머무르다, 버티다
abolish	없애다, 폐지하다
abound	풍부하다
absorb	흡수하다, 열중케하다
abuse	남용하다, 욕하다
accelerate	가속하다, 빠르게 하다
accept	받아들이다
accommodate	수용하다
accompany	동반하다
accomplish	이루다, 완성하다
accord	일치하다, 적응시키다
accuse	비난하다, 고발하다
achieve	이루다, 성취하다
acknowledge	(~이 사실임을) 인정하다
acquire	얻다, 배우다
adapt	적응시키다
address	주소/인사말, 강연
adhere	들러붙다, 부착하다
adjourn	연기하다
adjust	조절하다
administer	관리하다
admire	감탄하다
admit	허락하다
adore	숭배하다
adorn	꾸미다
advance	나아가다, 진보하다
advocate	변호사, 옹호하다
affect	~에 영향을 미치다, ~인 체하다
affront	모욕하다
aggregate	집합하다, 모이다
agree	동의, 일치하다
aim	겨누다, 겨냥하다
allege	단언하다, 주장하다
alleviate	덜다, 완화하다
alliance	결연, 동맹
allot	할당하다, 분배하다
allow	허락하다
ally	동맹, 결연하다
alter	바꾸다, 변경하다
alternate	교체하다, 번갈아 일어나다
amass	쌓다, 모이다
amaze	몹시 놀라게 하다
amplify	~을 확대하다
amuse	즐겁게 하다
anchor	고정시키다
annihilate	전멸, 폐지시키다
announce	알리다, 공고하다
annoy	성가시게 하다, 괴롭히다
antagonize	대항하다
anticipate	예견하다
appall	오싹하게 하다
appeal	애원하다, 호소하다
appease	달래다, 진정시키다
apply	알맞다, 적용하다
appoint	지명하다, 임명하다
apportion	배분하다
appreciate	평가하다, 가치를 인정하다
argue	논하다, 설득하다
arouse	깨우다, 자극하다
arrange	가지런히 하다, 배열하다
arrest	체포하다, 검거하다
ascend	오르다, 올라가다
ascertain	~을 확인하다, 조사하다
aspire	열망하다
assail	맹렬히 공격하다
assassinate	암살하다
assemble	모으다, 집합하다
assent	동의하다, 찬성하다
assess*	평가하다, 사정하다
assign	할당하다, 배당하다
associate	연합시키다, 참가시키다
assort	분류하다
assume	맡다, 책임지다
assure	보증하다, 확실하게 하다
astonish	깜짝 놀라게 하다
attach	붙이다, 접착하다
attain	도달하다, 달성하다
attempt	시도하다
attend	시중들다, 간호하다
attire	차려 입히다, 옷차림새
attract	유인하다, 매혹하다
authorize	권한을 부여하다
avenge	복수하다, 원수갚다
avoid	피하다, 회피하다
ban	금지령, 금지하다
banish	(국외로) 추방하다
bar	훼방하다, 그만두게 하다
barter	교환하다, 교역하다
beam	들보, 광선, 빛나다
bear	운반하다, 지탱하다, 견디다
beg	구걸하다, 부탁하다
behave	행동하다
bend	구부리다, 굽히다
betray	배반하다
bewilder	당황하게 하다
bid	명령하다
bind	묶다, 둘러 감다
bite	물다
blame	나무라다, 비난하다
blink	깜빡거리다, 깜작이다
boast	(허풍떨며) 자랑하다
boom*	번성하다
bother	걱정하다, 근심하다
bow	구부리다, 굽히다
break	깨뜨리다, 부수다
breed	양육하다, 기르다
brood	골똘히 생각하다
burst	폭발하다, 터지다
bury	파묻다, 매장하다
calculate	계산하다, 추정하다
cancel	취소, 중지하다
captivate	마음을 사로잡다, 매혹하다
capture	사로잡다, 포획
cast	나르다, 전하다
cast	던지다
cease	그치다, 그만두다
celebrate	축하하다, 찬양하다 
change	바꾸다, 변하다
charge	채우다, 짐을 지우다
cheat	속이다 
check	저지하다, 조사하다, 대조, 검사
cherish	소중히 하다, 품다
chop	자르다, 찍다
claim	요구하다, 청구하다
clash	충돌(하다)
clasp	손에 움켜쥐다
cleanse	청결하게 하다, 깨끗이 하다
climb	(산 따위에) 오르다
coax	감언, 달콤한 말을 하다
cohere	밀착하다, 결합하다
collect	모으다, 수집하다
combine	결합시키다
command	명령하다
commence	시작하다
commend	추천하다, 칭찬하다
communicate	전달하다, 통보하다
compel	강요하다, 억지로 ~시키다
compensate	보상하다, 갚다
compete	경쟁하다, 겨루다
complain	불평하다
comply	동의하다
comprehend	이해하다
compress	압축하다
conceal	숨기다
conceive	이해하다, 생각하다
concentrate	집중하다, 한점에 모으다
condemn	비난하다
condense	요약하다, 압축하다
conduct	행동하다, 이끌다, 안내하다
confer	수여하다, 주다
confess	자백하다, 고백하다
confine	한정하다, 가두다
confirm	확실하게 하다
conform	따르게 하다, 순응하다
confuse	혼동하다, 어리둥절하게 하다
conquer	정복하다, 억누르다
consider	~라 생각하다, 숙고하다
console	위로하다, 위문하다
constrain	억지로 ~시키다, 강요하다
constrict	압축하다, 죄다
consult	의견을 주다
consume	다 써버리다, 소모하다
contain	포함하다
contaminate	오염시키다
contemplate	심사숙고하다, 응시하다
contend	다투다, 강력히 주장하다
contrive	고안하다, 연구하다
convert	전환하다 
convince	 ~에게 납득시키다
correct	바로잡다, 교정하다
correspond	일치하다, 부합하다
count	~라고 생각하다
crack	깨뜨리다
crash	산산히 부수다
cripple	불구가 되다, 무능한
crush	짓밟다, 뭉개다
curse	저주하다, 괴롭히다
cut	자르다
fabricate	제조하다
fade	사라지다, 쇠약해지다
fascinate	황홀하게 하다, 매혹시키다
fashion	모양짓다, 맞추다/적응시키다
fasten	묶다, 고정하다
feed	먹을 것을 주다
fidelity	애태우다, 안절부절하다
finish	끝내다
fix	고정시키다, 정착시키다
flourish	번영하다, 꽃피우다
flow	흐르다, 솟다
follow	~의 결과로 일어나다
forbid	금하다, 불가능하게 하다
forecast	예보하다, 예상하다
foster	기르다, 양육하다
frame	뼈대를 만들다, 짜맞추다
freight	화물, 화물을 싣다
frighten	두렵게 하다
frustrate	실망시키다
furnish	공급하다, 마련해주다
fuse	녹이다, 융해시키다
gain	얻다, 획득하다
gasp	헐떡거리다, 숨이 막히다
gather	모으다, 모이다
gaze	뚫어지게 쳐다보다
give	주다
glide	미끄러지다
govern	다스리다, 통치하다
grant	승인하다, 허가하다
grasp	붙잡다, 움켜잡다
gratify	만족시키다, 기쁘게 하다
greet	인사하다, 환영하다
grieve	몹시 슬퍼하다
grind	갈아서 가루로 만들다
grudge	원한, 인색하게 굴다
guard	지키다, 망보다
guess	추측하다
guide	안내하다, 지도하다
gush	분출, 세차게 흘러나오다
habituate	길들이다, 익숙하다
halt	멈추다, 서다
hamper	방해하다
hang	걸다, 달아매다
happen	일어나다, 생기다
hasten	서두르게 하다, 재촉하다
hate	미워하다, 싫어하다
heal	고치다, 낫게 하다
hide	숨기다, 감추다
hinder	방해하다, 저지하다
hoist	(기 등을)올리다, 감아올리기
humiliate	굴욕감을 느끼게 하다, 창피주다
hunt	사냥하다, 추적하다
hurt	다치게 하다
ignore	무시하다, 모르는 체하다
imitate	흉내내다, 모방하다, 닮다
immerse	담그다, 빠뜨리다
impair	해치다, 손상시키다
impart	나누어주다, 주다
impel	추진하다, 재촉하다
implore	간청하다, 애원하다
improve	개선하다, 진보하다
improvised	즉석에서 짓다, 즉흥 연주하다
impute	~에게 돌리다, 씌우다
incarcerate	감금하다, 투옥하다
incite	자극하다, 격려하다
include	포함하다, 함유하다
incommode	폐를 끼치다, 괴롭히다
incorporate	통합하다, 합병하다
increase	늘리다, 불리다
induce	권유하다, 설득하다
inflate	부풀게하다
inform	알리다, 알려주다
inhibit	금하다, 억제하다
initiate	시작하다, 가입시키다
inquire	묻다, 질문하다
insult	모욕하다, 욕보이다
intensify	세게하다, 강렬하게 만들다
interfere	방해하다, 훼방하다
interpret	해석하다, 설명하다
interrupt	가로막다, 저지하다
intrude	억지로 밀어넣다
involve	포함하다, 수반하다
irritate	짜증나게 하다, 화나게 하다
jam	쑤셔넣다, 채워넣다
jeer	조롱하다, 야유하다
join	결합하다, 맞붙이다
jolt	갑자기 세게 흔들다
justify	옳다고 하다, 정당화하다
kill	죽이다
kindle	불붙다
lag	꾸물거리다
lament	슬퍼하다, 비탄하다
laud	칭송하다, 찬양하다
laugh	웃다
lean	기대다, 의지하다, 비스듬히 기대어 놓다
leap	껑충 뛰다, 뛰어넘다
leave	떠나다, 두고가다
lengthen	길게 하다, 늘이다, 연장하다
lessen	적게하다, 줄이다
level	평평하게 하다, 고르다
liberate	자유롭게 만들다, 해방하다
lift	올리다, 들어올리다
lighten	밝게 하다, 비추다
link	잇다, 연결하다
loathe	지긋지긋하도록 싫다, 질색하다
lodge	숙박하다, 묵다
loiter	빈둥거리다, 어슬렁거리다
lower	낮추다, 떨어뜨리다
lure	유혹하다, 미끼
madden	성나게 하다, 미치게 하다
magnify	확대하다, 과장하다
make	만들다, 구성하다
maltreat	학대하다, 혹사하다
manage	다루다, 처리하다
maneuver	연습하다, 기동하다
mangle	엉망진창으로 만들다
mark	~에 표시하다, 주목하다
mask	가장하다, 가면을 씌우다
mean	의미하다, 의도하다, ~할작정이다
meditate	명상하다, 숙고하다
meet	만나다, 직면하다
melt	녹다, 용해하다
mend	수선하다, 고치다
migrate	이주하다
mingle	섞다, 혼합하다
mislead	잘못 인도하다, 오도하다
mix	섞다, 혼합하다
moan	신음하다, 불평을 하다
mock	조롱하다, 흉내내며 놀리다
modify	변경하다, 수정하다
mount	오르다, 타다
mourn	슬퍼하다, 한탄하다
murder	살해하다, 암살하다
muse	명상하다, 숙고하다
neglect	게을리하다, 무시하다
negotiate	협정하다, 협상하다
notify	통지하다, 알리다
nourish	기르다
nurse	간호하다
nurture	기르다, 양육하다
object	반대하다, 항의하다
oblige	어쩔수 없이 ~하게 하다
observe	관찰하다
obstruct	막다, 차단하다
obtain	얻다, 손에 넣다
occupy	점령하다, 점거하다
occur	일어나다, 생기다
offend	성나게 하다
offer	제공하다, 제출하다
operate	움직이다, 일하다
oppose	반대하다
oppress	압박하다, 학대하다
order	명령하다, 지시하다
organize	조직하다, 정리하다
originate	시작하다, 일으키다
outdo	~보다 낫다, 능가하다
outlive	~보다 오래살다, 견뎌내다
outrage	(법률, 도덕)을 범하다, 어기다
overcome	이기다, 압도하다
overlook	너그럽게 보아주다, 못본체하다
overpower	이기다, 압도하다
oversee	감독하다, 두루 살피다
overthrow	뒤엎다, 전복하다
overwhelm	압도하다, 전복시키다
own	소유하다
pacify	평화롭게 하다, 진정되다
pant	숨차다, 헐떡거리다
paralyze	무력하게 하다
pardon	용서하다
partake	참가하다, 음식을 같이 하다
patch	수선하다, 고치다
peek	살짝 엿보다
penetrate	꿰뚫다, 감동시키다
perceive	지각하다, 알아채다
perform	실행하다, 이행하다
perish	멸망하다, 소멸하다
permit	허락하다
perplex	당혹케 하다
persecute	학대하다, 괴롭히다
persevere	인내하다, 견디다
persuade	설득하다
pervade	널리퍼지다
pierce	관통하다
pile	쌓아 올리다,모으다
plead	변론하다, 항변하다
plunge	빠지게 하다, 가라앉히다
polish	닦다, 광내다
pollute	더럽히다, 오염시키다
ponder	곰곰이 생각하다
portray	그리다, 묘사하다
pose	주장하다, 제출하다
postpone	연기하다, 미루다
predict	예언하다, 예보하다
predominate	우세하다
prescribe	규정하다, 명령하다
preserve	보존하다, 유지하다
presume	추정하다, 가정하다
pretend	~인체 하다
prevail	우세하다, 널리 보급되다
prevent	막다, 방해하다
proceed	나아가다, 진행되다
proclaim	선언하다, 공포하다
procure	획득하다
prohibit	금하다
project	계획하다
prolong	늘리다, 연장하다
promote	장려하다
propose	제안하다
prosper	번영하다, 성공하다
protect	보호하다, 막다, 지키다
protest	단언하다, 주장하다
provide	주다, 공급하다
provoke	화나게 하다, 자극하여 ~시키다
publish	발표하다, 공표하다
purchase	사다, 구입하다
purge	깨끗이 하다, 제거하다
push	밀다, 밀치다
quake	흔들리다, 떨다
qualify	~에게 자격을 주다
quit	그만두다, 떠나다
quiver	흔들리다
raise	올리다, 세우다
range	가지런히 하다, 정렬시키다
ratify	확인하다, 승인하다
realize	이해하다, 깨닫다
rear	기르다, 사육하다
reassure	안심시키다, 다시 용기를 내게 하다
rebuke	비난하다, 꾸짖다
recall	상기하다, 생각해 내다
recite	옲다, 암송하다
reckon	세다, 계산하다
recommend	추천하다
recompense	보답하다, 갚다
reconcile	화해시키다
recover	되찾다, 회복하다
reduce	줄이다, 감소시키다
refer	~의 탓으로 하다
reflect	반사하다, 반영하다
reform	개정하다, 수정하다
refresh	상쾌하게 하다, 새롭게 하다
refuse	거절하다, 거부하다
refute	반박하다
regain	되찾다
regard	~이라 여기다, 간주하다
regulate	조절하다
rehearse	연습하다
reign	군림하다, 통치하다
reinforce	강화하다
rejoice	기쁘게 하다
relax	늦추다, 편하게 하다
release	해방시키다
relieve	경감하다
remain	남다, 잔존하다
remark	의견을 말하다
remember	생각해내다, 상기하다
remove	옮기다, 이동하다
render	주다, 해주다
renew	갱신하다, 되찾다, 회복하다
rent	빌리다, 임대하다
repair	수리하다, 수선하다
repel	쫓아버리다, 물리치다
repent	후회하다, 뉘우치다
replace	대체하다, 바꾸다, 교환하다
represent	나타내다, 표현하다
repress	억누르다, 진압하다
reproach	비난하다, 꾸짖다
reprove	꾸짖다
request	요청, 부탁하다
require	요구하다, 명령하다
rescue	구출하다, 구조하다
reserve	남겨두다
reside	거주하다, 존재하다
resign	사직하다, 사임하다
resist	저항하다, 반항하다
resolve	결정하다, 분석하다
respect	존경하다, 중요시하다
restore	되돌려주다
restrain	억제하다, 제지하다
restrict	제한하다, 한정하다
retaliate	보복하다, 앙갚음하다
retire	물러가다, 퇴직하다
reveal	드러내다, 폭로하다
reverse	뒤집다, 거꾸로 하다
revert	되돌아가다, 복귀하다
review	재조사, 정밀하게 살피다
revise	교정하다, 수정하다
revive	소생하게 하다, 회복시키다
revolt	반란을 일으키다, 반항하다
revolve	회전하다
reward	보답하다, 보상하다
ridicule	비웃다, 조롱하다
roam	걸어다니다, 배회하다
roar	으르렁 거리다, 울부짖다
rob	강탈하다, 약탈하다
rot	썩다, 부패하다
rotate	회전하다
rouse	깨우다, 눈뜨게 하다
rush	돌진하다, 서두르다
satisfy	만족시키다
save	구하다, 구조하다
scale	기어오르다, 올라가다
scan	조사하다, 정밀검사하다
scare	깜짝 놀라게 하다, 위협하다
scatter	흩뿌리다, 낭비하다
scoff	비웃다, 조롱하다
scold	꾸짖다, 잔소리하다
scorn	경멸하다, 모욕하다
scream	소리치다, 비명지르다
scrutinize	세밀히 조사하다
scrutiny	정밀히 조사하다
search	찾다, 탐색하다
segregate	분리하다, 격리하다
seize	붙들다, 꼭 쥐다
send	전하다, 보내다
separate	나누다, 구별하다
serve	섬기다, 복종하다
sever	절단하다
shade	그늘지게 하다, 가리다
shake	흔들리다, 진동하다
shed	발산하다
shatter	박살내다, 파괴하다
shield	보호하다
shine	빛나다
shiver	떨다, 진동시키다
shorten	감소하다
shrink	오그라들다, 감소하다
shun	비키다, 피하다
signify	의미하다
sip	홀짝이다
skip	뛰어다니다, 뛰놀다
slay	살해하다
slide	미끄러지다
slip	(비밀, 말 등이)새다, 실수하다
slumber	꾸벅꾸벅 졸다
smash	박살내다, 산산이 부수다
sneer	냉소, 조소, 비꼬다
soak	흠뻑 젖다
soar	솟아오름, 높이 솟다
soften	부드럽게 하다
soothe	달래다, 진정시키다
sort	분류하다
spare	절약하다, 구하다
spend	소비하다
spin	회전시키다
split	분리하다, 쪼개다
spoil	망쳐놓다, 손상하다
spot	알아 맞추다, 탐지하다
spread	펴다
sprinkle	끼얹다, 뿌리다
squander	낭비하다
stab	찌르다
stagger	비틀거리다
stain	더럽히다
stammer	말을 더듬다
stamp	짓밟다
stand	참다
stare	응시하다
startle	깜짝 놀라게하다
stay	머무르다, 체류하다
stick	고정하다, 붙이다
stifle	숨막히게 하다
stir	감동시키다, 휘젓다, 움직이다
stoop	구부리다, 굽히다
stop	가로막다, 중단하다
strain	잡아당기다, 긴장시키다
stray	딴길로 들어서다, 헤매다
stretch	늘리다, 뻗치다
strike	치다, 때리다
strive	노력하다, 얻으려 애쓰다
stroke	공을 치다
stun	어리벙벙하게 하다
subdue	정복하다
submerse	가라앉다, 하강하다
submit	복종시키다
subscribe	동의하다
subsidize	보조금을 주다, 매수하다
subtract	빼다, 감하다
suffer	견디다
suggest	암시하다, 시사하다
summon	호출하다, 소환하다
supply	공급하다, 보충하다
support	받치다, 유지하다
suppose	가정하다
surpass	~보다 낫다, 능가하다
surprise	놀라게 하다
surrender	넘겨주다, 내주다
survey	바라보다, 둘러보다
suspect	~이 아닌가 생각하다
suspend	중지하다, 보류하다
sustain	떠받치다, 지탱하다
swallow	삼키다, 들이키다
sway	흔들다, 동요시키다
swear	맹세하다, 선서하다
sweep	청소하다
swivel	회전하다
tear	찢다, 자르다
tease	괴롭히다, 조르다
tempt	유혹하다, 부추기다
toil	힘써 일하다, 수고하다
tolerate	견디다
touch	감동시키다, ~의 급소를 찌르다
transact	집행하다, 처리하다
transform	변형시키다
transmit	부치다, 보내다, 전하다
transport	수송하다, 운송하다
treat	대접하다, 한턱 내다
tremble	떨다
trespass	침입하다, 침해하다
trim	다듬다, 손질하다
twinkle	반짝반짝 빛나다
twist	꼬다, 비틀어 돌리다
undergo	당하다, 경험하다
undermine	 ~의 밑을 파다
undertake	맡다, 책임맡다
unite	결합하다, 통합하다
untie	풀다, 끄르다
upset	당황하게 하다, 뒤엎다
urge	주장하다, 몰아대다
vanish	사라지다, 소실되다
vary	바꾸다, 변화를 주다
vibrate	진동하다, 흔들리다
view	바라보다, 조사하다
wallow	허우적거리다, 바둥거리다
wander	헤매다, 방랑하다
warp	뒤틀다, 휘게하다
waste	낭비하다, 허비하다
wave	파도치다, 물결치다
weaken	약화시키다
weave	엮다, 뜨다
weigh	심사숙고하다, 신중히 고려하다
whip	채찍질하다, 두드리다
whirl	핑핑 돌다, 회전하다
win	이기다, 노력해서 얻다
withdraw	물러나다, 빼다
wither	시들다, 움츠려들다
withhold	보류하다
witness	목격하다
wonder	놀라다, 이상히 여기다
worry	걱정하다
wrap	감싸다, 감추다
yearn	동경하다, 그리워하다
yield	산출하다, 양보하다
